Title,Company,Salary,Location,Link
Junior разработчик Python Django,ООО Инсейлс Рус,666,"Москва, Комсомольская",https://hh.ru/vacancy/48768385?from=vacancy_search_list&query=python
Python разработчик,Точка,666,Москва,https://hh.ru/vacancy/47682360?from=vacancy_search_list&query=python
